title,theme,status,workDate,endWorkDate,pubDate,mediumURL,liPubDate,linkedinURL,canonicalSite,blogURL,blogPath,cartoon,chatDate,draftPath,notes,altText,caption
Integration Reveals All: How Building File Analysis Exposed Hidden Architecture,building,distributed,2025-06-27,,2025-06-27,https://medium.com/building-piper-morgan/integration-reveals-all-how-building-file-analysis-exposed-hidden-architecture-3d696dbf2803,2025-08-08,https://www.linkedin.com/pulse/integration-reveals-all-how-building-file-analysis-exposed-crumlish-ep9kc/,distributed,https://pipermorgan.ai/blog/integration-reveals-all,/blog/integration-reveals-all,,,,,"A robot uncovering a hidden object, representing architectural truths exposed only during integration.",
Building for Learning,building,distributed,2025-06-27,,,,2025-08-15,,distributed,,,,,,missing Medium URL in source data,,
REPLACE with Overconfidence post: The Great Git Directory Massacre (And Other Cautionary Tales),insight,distributed,2025-06-27,,2025-06-30,https://medium.com/building-piper-morgan/the-great-git-directory-massacre-and-other-cautionary-tales-a143610ce7f9,2025-01-01,,distributed,,,,,,,,
The PM Who Automated Himself (Or at Least Tried To),building,distributed,2025-05-28,,2025-07-01,https://medium.com/building-piper-morgan/the-pm-who-automated-himself-or-at-least-tried-to-b1d8c2dd5f40,2025-07-02,https://www.linkedin.com/pulse/pm-who-automated-himself-least-tried-christian-crumlish-epumc,distributed,https://pipermorgan.ai/blog/the-pm-who-automated-himself-or,/blog/the-pm-who-automated-himself-or,,,,,"A robot puppeteer pulling strings on a smaller figure, blurring the line between creator and creation.",
The Demo That Killed the Prototype,insight,distributed,2025-05-29,,2025-07-01,https://medium.com/building-piper-morgan/the-demo-that-killed-the-prototype-f0aad9fa3a4a,2025-07-02,https://www.linkedin.com/pulse/demo-killed-prototype-christian-crumlish-znsnc,distributed,https://pipermorgan.ai/blog/the-demo-that-killed-the-prototype,/blog/the-demo-that-killed-the-prototype,,,,,"A robot pulling back a curtain to reveal the wizard's machinery, a demo exposing the prototype's fundamental limits.",
The Great Rebuild: Starting Over When Starting Over Is the Only Option,insight,distributed,2025-05-29,,2025-07-02,https://medium.com/building-piper-morgan/the-great-rebuild-starting-over-when-starting-over-is-the-only-option-b75918602942,2025-07-03,https://www.linkedin.com/pulse/great-rebuild-starting-over-when-only-option-christian-crumlish-cdw9c,distributed,https://pipermorgan.ai/blog/the-great-rebuild,/blog/the-great-rebuild,,,,,"A robot inventor surrounded by sketches and discarded parts, embracing a full restart as the only path forward.",
The Learning Infrastructure Gambit,building,distributed,2025-06-03,,2025-07-03,https://medium.com/building-piper-morgan/the-learning-infrastructure-gambit-aab04037831e,2025-07-04,https://www.linkedin.com/pulse/learning-infrastructure-gambit-christian-crumlish-lip3c,distributed,https://pipermorgan.ai/blog/the-learning-infrastructure-gambit,/blog/the-learning-infrastructure-gambit,,,,,"A robot laying concrete at a foundation, investing in invisible groundwork before any visible structure can rise.",
Knowledge Hierarchies and Dependency Hell,building,distributed,2025-06-04,,2025-07-04,https://medium.com/building-piper-morgan/knowledge-hierarchies-and-dependency-hell-4734f6e9f442?source=user_profile_page---------4-------------7f4f3524879----------------------,2025-07-05,https://www.linkedin.com/pulse/knowledge-hierarchies-dependency-hell-christian-crumlish-2tffc,distributed,https://pipermorgan.ai/blog/knowledge-hierarchies-and-dependency-hell,/blog/knowledge-hierarchies-and-dependency-hell,,,,,"A robot carefully pulling a Jenga block from a tower, showing how dependency chains teeter on single pieces.",
From Scaffolding to Flight: Before the Training Wheels Come Off,building,distributed,2025-06-05,,2025-07-05,https://medium.com/building-piper-morgan/from-scaffolding-to-flight-before-the-training-wheels-come-off-a858bf183c21,2025-07-06,https://www.linkedin.com/pulse/from-scaffolding-flight-before-training-wheels-come-off-crumlish-nwkzc,distributed,https://pipermorgan.ai/blog/from-scaffolding-to-flight,/blog/from-scaffolding-to-flight,,,,,"A robot on a tricycle, poised at the threshold before training wheels come off and real flight begins.",
Taking Stock: The Value of Pausing to Document and Plan,insight,distributed,2025-06-06,,2025-07-06,https://medium.com/building-piper-morgan/taking-stock-the-value-of-pausing-to-document-and-plan-da41a68cd59b,2025-07-07,https://www.linkedin.com/pulse/taking-stock-value-pausing-document-plan-christian-crumlish-ghq4c,distributed,https://pipermorgan.ai/blog/taking-stock,/blog/taking-stock,,,,,"A robot studying a detailed plan spread across a table, pausing progress to document and chart the way forward.",
"Bidirectional Intelligence: Teaching AI to Critique, Not Just Create",building,distributed,2025-06-09,,2025-07-07,https://mediajunkie.medium.com/bidirectional-intelligence-teaching-ai-to-critique-not-just-create-b5bb0c2c9384,2025-07-08,https://www.linkedin.com/pulse/bidirectional-intelligence-teaching-ai-critique-christian-crumlish-jgcwc,distributed,https://pipermorgan.ai/blog/bidirectional-intelligence,/blog/bidirectional-intelligence,,,,,"An AI system receiving feedback in both directions, learning to critique its own outputs as well as create them.",robot-critique.webp
